,name,url,info,industry,turn,city
188,AUTO3D,company/98153,3D扫描方案及云服务提供商,industry.AI,phase.INFORMAL,city.上海市
189,班砖网络,company/62748,AI音乐制作服务提供商,industry.AI,phase.ANGEL,city.上海市
190,翼依医疗,company/32050,病历数据管理服务提供商,industry.MEDICAL_HEALTH,phase.B,city.上海市
191,心麦智能,company/8874,可穿戴设备硬件研发商,industry.INTELLIGENT_HARDWARE,phase.A,city.上海市
192,忤合医疗,company/77512165,影像辅助诊断系统研发商,industry.MEDICAL_HEALTH,phase.A,city.上海市
193,Bjoy.AI奔悦智能,company/47452345,无人驾驶商用车研发商,industry.AI,phase.NONE,city.上海市
194,艾豹科技,company/7276595,医疗大数据风控平台,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
195,贝尔赛克,company/117364,生物识别技术研发商,industry.AI,phase.ANGEL,city.上海市
196,人智科技,company/35148,人工智能机器人研发商,industry.ROBOT,phase.A,city.上海市
197,禾赛科技,company/4924,自动驾驶雷达研发商,industry.AI,phase.B,city.上海市
198,掌腾智能,company/13308202,生物识别和智能监控技术研发商,industry.AI,phase.NONE,city.上海市
199,跃扬医疗,company/46018981,智能看护及健康监测系统研发商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
200,良晓科技,company/30003435,多媒体互动技术研发商,industry.AI,phase.INFORMAL,city.上海市
201,保资智能,company/27676363,零售智能化服务商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
202,HiHiBooth,company/8772335,AI行业应用解决方案提供商,industry.AI,phase.NONE,city.上海市
203,乐连人脸识别,company/95527,人脸识别系统服务提供商,industry.AI,phase.NONE,city.上海市
204,洪剑智能,company/81745572,人脸智能识别服务提供商,industry.AI,phase.ANGEL,city.上海市
205,穹天科技,company/41849714,AI芯片生产商,industry.AI,phase.NONE,city.上海市
206,AI MOOC,company/35489605,AI知识慕课学习平台,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
207,菲戈恩微电子,company/35477114,指纹识别芯片研发商,industry.AI,phase.NONE,city.上海市
208,滔浦网络,company/32259422,人工智能股票分析系统研发商,industry.AI,phase.NONE,city.上海市
209,音航信息,company/22808681,语音识别技术研发商,industry.AI,phase.NONE,city.上海市
210,初云医疗,company/19353104,智能医学影像诊断系统研发商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
211,凌云金科,company/19193907,金融行业端到端解决方案提供商,industry.FINANCE,phase.NONE,city.上海市
212,股智搜,company/84357159,智能股市搜索分析技术提供商,industry.AI,phase.ANGEL,city.上海市
213,澔医智能,company/86012894,在线语音语义医疗服务提供商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
214,员动力,company/85533947,员工创意管理SaaS云平台,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
215,弘玑,company/79621248,AI企业数字劳动力平台,industry.AI,phase.NONE,city.上海市
216,络策网络,company/72844839,企业大数据服务提供商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
217,脸云科技,company/14048346,人脸识别服务提供商,industry.AI,phase.ANGEL,city.上海市
218,深度之眼,company/12438515,在线人工智能课程学习平台,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
219,AI星探,company/6358676,AI大数据社会化营销服务商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
220,互问科技,company/1775212,语音交互解决方案提供商,industry.AI,phase.NONE,city.上海市
221,红翌网络,company/150105,智慧商业综合系统研发商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
222,耀途资本,company/138997,一级市场风险投资机构,industry.FINANCE,phase.B,city.上海市
223,塞伯坦科技,company/50646,图像视频识别技术,industry.AI,phase.NONE,city.上海市
224,Tinyfine,company/113136,提供海外游戏发行及人工智能推荐游戏的公司,industry.MEDIA,phase.NONE,city.上海市
225,望才招聘,company/22296,大数据招聘服务提供商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
226,阡寻科技,company/134354,基于人工智能技术的证券数据服务提供商,industry.FINANCE,phase.ANGEL,city.上海市
227,端迪智能,company/95602659,AI智能无人售货机研发商,industry.CONSUMER_LIFESTYLE,phase.NONE,city.上海市
228,颐保医疗,company/82199424,AI医疗解决方案研发商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
229,慧满分,company/45478974,在线教育辅导平台,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
230,宜目汽车,company/150267,无人驾驶技术研发商,industry.AI,phase.NONE,city.上海市
231,我要写歌,company/98947,人工智能音乐创作平台,industry.MEDIA,phase.SEED,city.上海市
232,BeOP物联,company/28939003,人工智能物联网SaaS平台,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
233,容联信息,company/18646,智慧面签服务提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
234,数眼科技,company/97766550,机器学习算法服务商,industry.AI,phase.NONE,city.上海市
235,耐世特Nexteer,company/96973712,汽车转向系统供应商,industry.AUTO,phase.IPO,city.上海市
236,合合信息,company/96757801,智能商务解决方案提供商,industry.SERVICE_INDUSTRIES,phase.D,city.上海市
237,指天下,company/96422918,AI零售导购系统研发商,industry.AI,phase.NONE,city.上海市
238,联印科技,company/96042102,基于云技术的软件外包服务平台,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
239,小麒麟网络,company/94887455,智能系统及应用平台研发商,industry.AI,phase.NONE,city.上海市
240,昀丞医协体,company/94881129,互联网医疗协作体平台,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
241,奕诊智能,company/94723215,临床数据分析平台,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
242,燧原科技,company/94549942,人工智能领域神经网络解决方案提供商,industry.AI,phase.PRE_A,city.上海市
243,同弈科技,company/94531586,机器视觉技术研发商,industry.AI,phase.NONE,city.上海市
244,魔珐,company/94137871,智能交互技术研发商,industry.AI,phase.ANGEL,city.上海市
245,上海蓝燧,company/90693985,AI医学影像服务提供商,industry.AI,phase.NONE,city.上海市
246,颖态智能,company/90498436,赋予机器人更强的感知及认知能力,industry.ROBOT,phase.NONE,city.上海市
247,慷智集成电路,company/86561425,AI芯片研发商,industry.AI,phase.ANGEL,city.上海市
248,TeamU,company/86356007,篮球运动场馆预订与AI互动平台,industry.SPORTS,phase.NONE,city.上海市
249,鼎视信息,company/85303480,计算机视觉技术研发商,industry.AI,phase.NONE,city.上海市
250,耕岩智能,company/84920647,人工智能领域技术研发商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
251,智诊医学影像,company/84630361,脊椎影像诊断技术研发商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
252,康耐视,company/83901195,工业机器视觉系统研发商,industry.AI,phase.NONE,city.上海市
253,Cellboard,company/82045010,人工智能行业应用服务商,industry.AI,phase.NONE,city.上海市
254,树实科技,company/81399511,智能机器人及智能硬件生产商,industry.INTELLIGENT_HARDWARE,phase.NONE,city.上海市
255,赛灵思电子,company/79709763,可编程芯片研发生产商,industry.PEC,phase.NONE,city.上海市
256,叮诺科技,company/78757720,智能理财教育服务提供商,industry.FINANCE,phase.ANGEL,city.上海市
257,SUI思驭,company/78516807,人工智能驾驶安全解决方案提供商,industry.AI,phase.NONE,city.上海市
258,电眼自动驾驶,company/78511309,自动驾驶技术研发商,industry.AI,phase.NONE,city.上海市
259,腾飞龙人工智能,company/78055227,人工智能园区开发服务商,industry.REAL_ESTATE,phase.NONE,city.上海市
260,瑟睿微电子,company/77428715,自动驾驶解决方案提供商,industry.AI,phase.NONE,city.上海市
261,闻通科技,company/77175815,人工智能技术应用研发商,industry.AI,phase.NONE,city.上海市
262,拟合智能,company/76692838,智能传感器设备研发商,industry.AI,phase.NONE,city.上海市
263,信医科技,company/75845753,智慧医疗和医疗信息化服务商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
264,机颖智能,company/75475487,AI开发及运营平台,industry.AI,phase.NONE,city.上海市
265,魔拾科技,company/75342364,智能零售解决方案提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
266,画心科技,company/74534653,酒店智能语音助手研发商,industry.AI,phase.NONE,city.上海市
267,Tomorrow AI,company/72614993,智能人际关系预测服务商,industry.AI,phase.NONE,city.上海市
268,东冠科技,company/72279417,视觉检测设备研发商,industry.INTELLIGENT_HARDWARE,phase.NONE,city.上海市
269,小得,company/72172980,知识经验制作分享平台,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
270,联数物联,company/71143227,物联网服务商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
271,黄药师APP,company/71112047,医药搜索查询服务平台,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
272,优浪科技,company/69498444,语音识别应用技术研发商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
